Lab_Number,General_Context,Associated_Feature_Type,Material,Quad,Distance_Band,Researcher,Age,Class,Reference,CRA,SD,
Beta-91771,"Site 31-98, TU1, F.20",Residential,Burnt grass,31,0-500,"Stevenson and Haoa Cardinali, 1995","420 ± 80
",2b,Wozniak 2003:302-4,420,80,
Beta-91772,"Site 31-98, TU6, F.33",Residential,Wood charcoal?,31,0-500,"Stevenson and Haoa Cardinali, 1995",130 ± 60,2b,Wozniak 2003:302-4,130,60,
Beta-91773,"Site 31-98, TU11, F.63",Residential,Wood charcoal,31,0-500,"Stevenson and Haoa Cardinali, 1995",70 ± 40,2b,"Mulrooney 2012
Vargas Casanova et al., 2006:217",70,40,
Beta-91774,"Site 31-98, TU6, F.66",Residential,Wood charcoal?,31,0-500,"Stevenson and Haoa Cardinali, 1995",130 ± 70,2b,"Vargas Casanova et al., 2006:217-9",130,70,
Beta-91775,"Site 31-98, TU9, F.73",Residential,Wood charcoal,31,0-500,"Stevenson and Haoa Cardinali, 1995",240 ± 40,2b,Stevenson and Haoa Cardinali 2008:109,240,40,
Beta-099344,Site 31-90 or 31-91,Residential,Wood charcoal,31,0-500,"Stevenson and Haoa Cardinali, 1995",80 ± 70,2b,Stevenson and Haoa Cardinali 2008:109,80,70,
Beta-099346,Site 31-90 or 31-91,Residential,Wood charcoal,31,0-500,"Stevenson and Haoa Cardinali, 1995",160 ± 50,2b,Stevenson and Haoa Cardinali 2008:109,160,50,
Beta-099349,Site 31-90 or 31-91,Residential,Wood charcoal,31,0-500,"Stevenson and Haoa Cardinali, 1995",60 ± 50,2b,Stevenson and Haoa Cardinali 2008:109,60,50,
Beta-099350,Site 31-90 or 31-91,Residential,Wood charcoal,31,0-500,"Orliac, 1995",10 ± 70,2b,Stevenson and Haoa Cardinali 2008:109,10,70,
Beta-099355,Site 31-90 or 31-91,Residential,Wood charcoal,31,0-500,"Orliac, 1995",150 ± 50,2b,Martinsson-Wallin and Crockford 2002:248,150,50,
Beta-099357,Site 31-90 or 31-91,Residential,Wood charcoal,31,0-500,"Orliac, 1995",60 ± 50,2b,Martinsson-Wallin and Crockford 2002:248,60,50,
Beta-099345,Site 31-90 or 31-91,Residential,Wood charcoal,31,0-500,"Orliac, 1995",610 ± 80,2b,Martinsson-Wallin and Crockford 2002:248,610,80,
Beta-155723,"Site 21-568a, Hare Aio, bore hole",Residential,Wood charcoal,31,500-1000,"Orliac and Orliac, 2001",Modern,2b,Martinsson-Wallin and Crockford 2002:248,Modern,,
Beta-155724,"Site 21-568a, Hare Aio",Residential,Carbonized nutshell,31,500-1000,"Orliac and Orliac, 2001",Modern,2c,Orliac and Orliac 2001,Modern,,
Ua-11700,"Ahu Heki’i, T1",Residential,Carbonized nutshell,31,0-500,"Martinsson-Wallin and Wallin, 1997",705 ± 45,2c,"Orliac and Orliac, 2001",705,45,
Ua-11701,"Ahu Heki’i, T2, F.1",Ceremonial,Carbonized nutshell,31,0-500,"Martinsson-Wallin and Wallin, 1997",700 ± 45,1a,"Martinsson-Wallin and Crockford
2002:250",700,45,
Ua-11702,"Ahu Heki’i, T2, below F.1",Ceremonial,Carbonized nutshell,31,0-500,"Martinsson-Wallin and Wallin, 1997",465 ± 45,1b,Martinsson-Wallin and Crockford 2002:250,465,45,
Ua-11703,"Ahu Heki’i, T2, Level 7",Ceremonial,Wood charcoal,31,0-500,"Martinsson-Wallin and Wallin, 1997",555 ± 50,1b,Martinsson-Wallin and Crockford 2002:250,555,50,
Ua-11704,Ahu No. 31-286,Ceremonial,Wood charcoal,31,0-500,"Martinsson-Wallin and Wallin, 1998",795 ± 50,1a,Martinsson-Wallin and Crockford 2002:250,795,50,
Ua-13163,Ahu Ra’ai,Ceremonial,Wood charcoal,31,0-500,"Martinsson-Wallin and Wallin, 1998",135 ± 60,2a,Martinsson-Wallin and Crockford 2002:252,135,60,
Ua-13164,Ahu Ra’ai,Ceremonial,Wood charcoal,31,0-500,"Martinsson-Wallin and Wallin, 1998",515 ± 60,2b,Martinsson-Wallin and Crockford 2002:251,515,60,
Ua-13165,Ahu Ra’ai,Ceremonial,Wood charcoal,31,0-500,"Martinsson-Wallin and Wallin, 1998",570 ± 50,2a,Martinsson-Wallin and Crockford 2002:251,570,50,
Ua-13166,Ahu Ra’ai,Ceremonial,Wood charcoal,31,0-500,"Martinsson-Wallin and Wallin, 1998",635 ± 50,2b,Martinsson-Wallin and Crockford 2002:251,635,50,
Ua-13167,Ahu Ra’ai,Ceremonial,Wood charcoal - identified,31,0-500,"Martinsson-Wallin and Wallin, 1998",645 ± 50  ,2a,Martinsson-Wallin and Crockford 2002:251,645,50,
